-143,108,
77.2946,33,51,4,
0.705439,3.70544,2.70544,297.706,
0,
-145.237,84.9853,80,0,-0.0304127,-0.405724,0.205438,-154.589,-6.56377,0,-65,
-227.117,202.978,40,60,0,4,20,0,
-524.263,-5.44043,40,60,0,4,20,0,
1125.82,-54.0219,40,60,0,4,20,0,
983.706,-487.37,40,60,0,4,20,0,
-567.976,116.76,40,60,0,4,20,0,
742.054,797.17,40,60,0,4,20,0,
-435.509,212.172,25,150,1,3.6937,30,2,
-1028.14,362.481,40,60,0,4,20,0,
-1149.85,-52.3833,40,60,0,4,20,0,
968.282,1274.03,1000,99,0,4,50,3,
-619.91,592.955,40,60,0,4,20,0,
-135.225,184.596,60,90,0,4,20,1,
-791.444,391.223,40,60,0,4,20,0,
-1681.27,1344.69,40,60,0,4,20,0,
264.407,951.767,40,60,0,4,20,0,
-805.196,242.021,40,60,0,4,20,0,
-897.743,892.581,80,90,0,4,20,1,
239.824,-223.619,40,60,0,4,20,0,
-393.036,860.453,40,60,0,4,20,0,
124.663,282.126,80,90,0,4,20,1,
1057.65,1498.46,80,90,0,4,20,1,
293.359,346.65,40,60,0,4,20,0,
-91.2405,-106.61,80,90,0,4,20,1,
-1402.79,1138.07,40,60,0,4,20,0,
-793.824,449.728,80,90,0,4,20,1,
-1691.27,747.848,40,60,0,4,20,0,
-820.259,-401.772,80,90,0,4,20,1,
-178.977,283.7,25,150,1,0.701462,30,2,
-835.944,-186.429,40,60,0,4,20,0,
166.242,500.93,80,90,0,4,20,1,
-775.468,1439.46,40,60,0,4,20,0,
-989.679,861.037,40,60,0,4,20,0,
-1662.35,-224.174,25,150,1,1.6733,30,2,
-323,139,0,0,0,4,0,30,
-167,144,0,0,0,4,0,30,
-190,316,0,0,0,4,0,30,
-407,201,0,0,0,4,0,30,
